Tarih,Faiz_Orani_Yillik_Pct
31.12.1978,6.0
31.12.1979,7.33333333333333
31.12.1980,8.0
31.12.1981,26.5
31.12.1982,45.0
31.12.1983,45.3333333333333
31.12.1984,51.4166666666667
31.12.1985,49.25
31.12.1986,40.5833333333333
31.12.1987,35.0
31.12.1988,49.0833333333333
31.12.1989,53.79
31.12.1990,47.4833333333333
31.12.1991,62.68
31.12.1992,68.7366666666667
31.12.1993,64.5741666666667
31.12.1994,87.7908325
31.12.1995,75.9675
31.12.1996,80.7516666666667
31.12.1997,79.4916666666667
31.12.1998,80.1075
31.12.1999,78.4325
31.12.2000,47.1575
31.12.2001,74.6991666666667
31.12.2002,50.4916666666667
31.12.2003,37.6783333333333
31.12.2004,24.2591666666667
31.12.2005,20.3966666666667
31.12.2006,21.6475
31.12.2007,22.5591666666667
31.12.2008,22.9133333333333
31.12.2009,17.6491666666667
31.12.2010,15.2691666666667
31.12.2011,14.105
31.12.2012,17.1933333333333
31.12.2013,15.295
31.12.2014,16.935
31.12.2015,14.9166666666667
31.12.2016,14.61
31.12.2017,15.2883333333333
31.12.2018,23.2833333333333
31.12.2019,25.4091666666667
31.12.2020,13.3566666666667
31.12.2021,20.7
31.12.2022,27.0408333333333
31.12.2023,51.325
31.12.2024,71.0433333333333
16.05.2026,44.875
